"","T001A","T001F","T002A","T002E_F","T003A","T003F","T004A","T004F","T005A","T005F","T006A","T007A","T007F","T008A","T008F","T009A","T009F","T010A","T010F","T011A","T011F","T012A","T012F","T013A","T013F","T014A","T015A","T015F","T016A","T016F","T017F_150224154811","T017F","T018A","T018F","T019A","T019F","T020A","T020F","T021A","T022A","T022D_F","T023A","T023F","T024A","T024F","T025A","T025F","T026A","T026F","T027A","T028A","T028F","T029A","T029F","T030A","T030F","T031A","T031F","T032A","T032F","T033F","T034A","T034F","T035A","T035F","T036A","T036F","T037A","T037F","T038A","T038F","T039A","T039F","T040A","T040F","T041A","T041F","T042A","T042F","T043A","T043F","T044A","T044F","T045A","T046A","T046F","T047A","T047F","T048A","T049A","T049F","T050A","T050F","T051A","T051F","T052A","T052F","T053A","T053F","T054A","T054E.F","T055A","T055F","T056A","T056F","T057A","T057F","T058A","T058F","T059A","T059F","T060A","T060F","T061A","T061F","T062A","T062F","T063A","T063F","T064A","T064F","T065A","T066A","T067A","T067F","T068A","T068F","T069A","T069F","T070A","T070F","T071A","T071E.F","T072A","T072F","T073A","T073F","T074A","T074D.F","T075A","T075F","T076A","T076D.F","T077A","T077F","T078A","T078F","T083A","T083F"
"1",18.492566625487,18.7371232170062,17.5219030842771,18.5535327859279,19.1839889853821,21.4771204803401,17.8388845223814,18.412394190937,17.9407307578637,19.1166405608848,19.8014409984708,17.4826804899288,17.7680510534394,18.5431566281401,18.9080401983389,23.9135338326389,23.9976038451851,17.4737142185507,20.4785312999122,17.9109429161101,19.1763666639296,17.3228684614707,18.8932572700213,17.5473549336062,17.9990992598518,18.1760240558964,21.3151800683578,18.499083265585,17.5856052152922,16.6010750368741,21.9382190047811,22.1273922783915,18.2392969532591,19.110850605365,17.3664984462076,18.6064746911673,17.2721052831509,20.0044155158148,19.3054342474178,17.9924703920805,19.092992474166,19.3988579683795,20.8620542871431,16.9934933605404,17.5227241230216,17.5681810663842,24.5525175132115,16.9100476536967,18.8968012705194,17.315457675371,22.9551226965626,18.3512009500425,18.5383884268698,17.17155840343,18.585381536209,18.4298485166151,19.7789302142585,20.0064640466099,18.9132904760584,19.5123772281543,19.0095955992258,17.6253805161359,18.3344824534423,26.3574540179918,26.4837112380484,19.7633434108176,19.266800923077,25.3138168572579,24.868238650885,19.7402351656058,22.1746719146264,19.0664274979808,18.1338428978193,18.2380782320056,17.6764768117203,17.9920129199291,18.3996448015681,19.2717115003267,17.5314502198151,18.4225160700432,20.0463417019661,18.997989124293,19.8369106052461,19.8679616681736,19.534969246643,20.1148127213245,18.8939504467598,20.1296708583656,20.5113098165464,18.4502853252204,17.4018053818369,21.3776587848449,19.6805121896777,24.7049740567351,18.3353274985615,24.9908995145374,18.8556744639337,18.7071136405772,17.940966344302,18.6191123315116,19.0033825826329,25.2845301996984,25.5401198899007,18.5201975421351,19.3072069932178,18.6937415096499,19.986199668833,17.6699522553187,17.7476423701688,19.773580973334,19.6466884765197,19.1178781583176,17.7347291132296,16.8160116222551,20.4249071686483,29.457995927475,29.5307212020445,16.8825179225248,20.999349625807,17.943460983687,19.1032692626183,18.5681163249462,19.4769269771286,25.6794178498763,26.8397996798031,19.1496987270544,21.7008976799492,23.1194280098397,25.1497535689969,23.700869103739,21.2644632477502,22.1023573158683,20.3358799566208,18.3248451643767,20.3269912086467,19.7069168938927,19.9371345526447,24.8970643629838,20.3199439608465,19.7864264162795,19.3134813020594,19.523603173192,18.9048472910492,30.5897420464723,18.6113220101647,18.1227833527597,18.6767158594157,19.8367420069439,20.4789434062305
"2",17.940068392429,17.5332433338145,17.6337041607443,16.2517862029766,17.2515340695857,17.4011041923958,17.5390969348075,17.0836756818247,17.4971912042487,17.8518570004606,17.3796420507109,17.6255707216199,17.8899055032609,17.3458117159396,17.2116092658488,17.8273492291566,17.4615568920486,18.5248386742612,17.1072916588512,17.0970695918178,17.1692313321269,15.982942543705,17.7487691694182,17.2243195335878,17.3326281182162,17.9245654456855,22.3045364352809,17.5816584302966,17.7973808360203,17.4320298594593,18.0538968503558,18.2778624686142,18.7378473788586,18.4356717084527,18.9321520095244,16.9657666826239,17.857286556245,18.4029426285094,17.5410900150256,17.6437586332654,18.2707437981866,18.2990950768136,18.801813438556,18.0362710610207,17.9069761304556,17.781580812527,17.4437069372519,17.5651516276834,17.268402507761,18.0320410766827,17.8660845059912,15.9002450619725,17.442940608778,17.6926881694923,18.3479093752931,17.5027079857352,17.8780900237778,16.8892345707553,17.1944370292282,18.1176226393316,18.8917493179309,18.9538641766386,18.8386664240665,19.8975534566324,16.3159716095681,17.844768022382,17.1372701818088,18.7438662274492,17.5200878497706,17.7525331887464,18.0922297985916,17.8133969398964,16.6029184814008,17.8478949422455,16.9293322341138,18.6854673414247,18.5324551950951,18.1200989860299,17.2751312479822,17.1701529042027,17.4690052412278,17.273934272907,17.5532717687229,18.7810617427476,17.9467862167031,17.9968477476418,17.3655549542359,17.247074747779,17.7722659687757,18.7033652469205,18.8716741083404,17.77700444369,18.2176513406133,18.3561375595235,18.7646946434247,18.9721452123878,18.4140830462294,18.2910731609613,18.0601661629665,19.0222832214625,18.4441976544745,18.6681666482517,18.5419009235001,19.0729166738307,19.1060623702896,18.697075779974,18.0339008285385,18.5102696624302,18.6545586456189,18.6000191834718,27.720925618688,18.884028264232,18.4231946907815,17.9262522901131,17.9138861041324,18.9224424735164,18.0829618060909,18.1912247737535,18.5021604367901,18.9307422908392,18.6507468578155,18.9852085667773,18.215897462988,18.2337699239349,18.2381197855873,17.2854330129632,16.4215024681286,17.6818753445997,16.3754602690507,18.6062680296401,17.6601372548367,18.164477747497,17.6681828977685,18.7417234580429,18.2510654613748,18.7434360068733,18.4104116403872,17.8286714916082,16.1715486659365,17.8301929838509,18.0266192297682,18.433820107099,16.6299127044544,18.3611512822398,18.1999436258925,18.8888798795726,17.7406492325915,18.1940901625533,18.1863598753179
"3",12.5632179112656,12.1120267938612,11.9119566965981,12.1931434235372,15.2270650056678,18.0179384934055,12.7476435476215,12.7195439279536,12.1639551015483,12.7649583635761,15.8635105743237,12.5160960818434,12.7602630889766,12.9534391028766,12.2896378435412,20.241150283754,20.2608880179945,13.0421309097643,17.0050465026823,12.9273555464733,15.1065443523257,12.1927210952315,13.2393396721309,12.1328379767473,12.4110000022921,12.5684128508379,16.1985819218926,12.1234134841247,12.6386850931401,12.0657392906284,18.205323875924,18.4430769105651,13.0574949129286,14.4127767820302,14.121486550414,13.2318475171306,13.7810698655353,16.0145946919443,15.1236863932046,13.4111190391136,12.8744261158803,14.9823668285343,17.187522425769,14.3531407006804,12.8641125128341,13.645584190434,20.7914021794756,14.3083493912054,13.7103639178878,13.7651068423566,19.2567649232222,12.7378855240574,13.3481752361644,13.0873495306396,13.1706325547068,13.1826673038271,15.2425808759654,15.2434072305127,13.6784952087618,12.7457565404923,15.5877605929375,13.345496326725,14.1876010174974,22.6721316651697,22.7263451525241,16.1024390716007,15.5200938715688,21.5700459195377,21.2220605181657,15.8832035932047,18.3660884414432,12.2395080077855,13.2596774815018,12.4816723902212,12.870506478979,15.2720952896613,13.1482534455453,15.6309067357729,12.9883598788085,13.1997420005831,16.3004464804352,16.1626282580104,15.9482973011795,16.4044359804087,16.1187849864703,16.5305607443823,14.5286068669799,16.5848055483571,16.9250121832439,12.097099834585,12.6075261198641,17.5999658532847,15.0286957623098,21.060917284255,12.2089815683324,21.2421695546252,12.2102928824253,12.3205739989908,12.541642319193,12.8595945911525,12.2051237284578,21.6869141349139,21.8872021422016,11.8476433373682,12.7299070037685,12.1049020825428,16.4371735271466,12.8715723141611,13.333716643004,16.4220886162026,12.1487483255717,12.4499225517308,12.4972265012125,12.5454725090894,16.9456992730429,25.7025081777627,25.8383124115316,12.2823389900007,17.676933384612,12.2635381638818,14.2840052624288,12.7852116310316,12.6846564582754,21.9951005809348,23.1446542612784,12.1630314238663,18.0659760144009,19.6082562477977,21.571812480139,20.0108936925356,17.8100118051847,18.2786759379358,16.7040841188462,13.0196271034365,17.245145335991,12.04651030509,17.0175354907697,21.1429515042359,17.2126657825567,15.6571148452655,12.5876050444341,12.9014683713401,12.2574939973711,26.8949019279749,12.1661099599106,12.2977385104656,12.2078509380018,13.0607412378307,16.8723217815634
"4",21.2947376452251,21.5033100645525,21.2809645404244,20.6817143155967,18.7610128869693,18.136450432931,20.5366165886786,21.5725570497895,20.7099596959951,20.6245679530561,20.2503597928127,22.2345389856356,22.4979536866377,22.1238708671286,21.9483278413756,23.7415811498454,24.2486656093572,22.8273876197584,22.4115853179035,21.4310470750876,22.4053608947278,24.5761130299987,24.7319800889255,24.2567641489201,23.3130294659903,21.2593573902032,19.4373061810165,23.0198112902551,21.9950351994569,20.6564178579118,22.1570864965473,21.7905788952771,23.602530639019,21.2544968280376,20.6977838932206,21.2151961696217,21.1635695094503,22.7327040926471,20.8405459322369,21.2085984708195,21.4541941015798,25.1008126078185,22.0189344338224,25.2256681917422,19.169690907543,23.7654776555998,21.2693129316196,22.4547123597296,22.0935079396603,21.7696298798616,23.3588063658379,22.2330289200796,21.8515816054379,22.1907694153505,24.3879505896889,25.6546478554387,22.4720126478653,24.5167106276708,21.5192148389153,21.204084478569,21.5034266038181,22.4441326627057,23.8784563390488,21.1391763477429,21.5105921130032,20.8215973459583,21.4968759165224,24.8283900300802,22.6614178188854,20.6987766279514,20.9352192638766,24.9217342728979,21.8830770503722,20.976664323895,22.1994026899933,21.947876203723,22.7824323976685,22.9108255669808,22.8033449613788,24.1184706427982,23.7491336397546,21.4256228538266,22.3712107233155,21.9901473436773,22.9873845675723,21.9510347381937,22.1834898933352,21.9468498888873,21.7927956911678,25.2378576463353,21.2958992670305,24.8202930337116,24.173150010702,22.3780403635584,24.2955815729174,21.3958583354752,19.4630074362871,22.2711014351719,23.0806781170077,22.5838556450291,21.2257250852322,22.9440871264636,23.0248898765773,24.3190901894901,24.6097767866301,20.9978145581123,23.9847402002056,23.2463530985117,22.3444378082052,22.7248801918766,24.132005104554,24.8723528691481,25.4811374471521,23.4349868802479,23.3209553883284,20.513236329852,19.3061017055265,20.8956613764681,21.677746747576,20.083822059613,21.6976019934044,21.4173694154072,23.0933556097655,24.3289206029454,24.5284408266083,25.3242678709707,24.212900283014,22.722218780313,22.7050977781984,24.3283149357237,20.8549899754911,21.6614350312736,20.6325966366344,22.3461190765343,23.773829387111,23.8383633854137,21.8635425666556,23.0414907092764,21.5938632703257,22.6438062442436,22.7973277203821,22.4777769695222,21.7303038225972,25.1299897932958,24.783394295398,21.7979455267289,21.6887620081735,24.2111079976123,24.1758428453973
"5",16.5212206109841,15.4079606438058,17.1834113306981,16.2655928791491,16.2381594102104,16.7333313978498,16.4548087675307,12.7195439279536,16.8396726859191,12.7649583635761,20.464808067308,21.188951508833,16.5455937555253,22.9928608198368,20.4402467168211,16.301735749184,16.1996211579263,17.135788742305,12.5905486971794,16.4894988383204,15.672901926853,12.1927210952315,13.2393396721309,12.1328379767473,12.4110000022921,16.0997462755995,21.80926639993,14.6612463253114,12.6386850931401,12.0657392906284,16.3844051525185,13.4200105798645,17.3729340430443,13.4127767683447,25.4642265753541,13.2318475171306,13.7810698655353,13.4194922070554,13.4892446836626,17.5911198750578,12.8744261158803,18.3124210155734,13.0468507176205,14.3531407006804,16.9983398183345,13.645584190434,13.1712977946249,14.3083493912054,13.7103639178878,17.6812925815916,13.0135947736315,12.7378855240574,16.1220297552669,13.0873495306396,16.6102286135996,13.1826673038271,16.673283600935,13.6201598725549,13.6784952087618,12.7457565404923,13.2008788807487,16.7935916953721,15.288471764792,15.8046005693386,16.9688806746857,15.7492351194123,12.4708840454887,13.5181223573245,12.6735255025225,17.6880781839617,13.3320860860809,17.7208705410921,13.2596774815018,17.0876678486995,24.2371107123496,18.7530283669255,16.1854052150729,17.7441694682963,17.4913426529028,16.7798261697151,13.1397457513304,18.6408212689937,16.3274880835624,17.2573292519498,13.1469052177407,15.8725614048476,15.7565563446862,16.3966176416259,17.5288257727887,16.6207215151598,16.0752903014505,11.6802469756023,12.0090410786099,25.1452783146185,12.2089815683324,10.1277383113729,12.2102928824253,15.7363966791413,12.541642319193,17.2848502633312,12.2051237284578,15.9718744866439,12.1229840053538,11.8476433373682,12.7299070037685,16.8852915650486,12.9101679851678,19.6549600996476,13.333716643004,12.3563770544434,18.2192172576751,24.4041353320289,22.2827533335532,17.2332828466198,13.1784600819323,12.3840366599701,17.7118474188809,17.4883501317033,17.1835887603265,15.5033227595446,15.3557344115784,23.8481062522701,12.6846564582754,17.5939199155551,12.9471145822531,17.1198194753167,24.9711234976195,16.8415644002773,12.108729155099,16.830278670953,13.017672019485,16.8873540851924,19.3027158449413,17.6549375126418,13.1379789732,17.254812367074,14.9814776189978,15.3149667000673,12.1179887074406,12.7999053612079,12.5876050444341,17.588764528617,15.920219818238,13.4451035980244,12.1661099599106,15.5590100887594,12.2078509380018,13.0607412378307,12.5378680823966
"6",16.4352254952682,16.3779225990783,16.3421150460012,15.6570894916797,15.683675554728,14.8667955090176,15.3328654009868,15.2009462829485,16.2698382302932,16.0760211177878,15.1292330729895,16.4919114492865,15.1940603324923,15.1921542495507,17.0604601199924,14.9827067231736,15.8593920389367,16.285363387153,16.2024157800067,16.1459694472174,16.6540719901839,16.4371804787402,17.5102003392227,16.6515507681553,15.9396158776711,14.9934793302355,19.826383616775,14.8082235475451,16.9899112062687,16.1057404613215,16.2233525128296,17.0362754101174,13.0574949129286,13.4127767683447,16.0418392469144,15.2872395094267,15.5463013631627,16.353020376264,15.7481213150586,17.2949452729481,16.5865981956179,16.4611196497913,16.004487916054,15.6138258903446,14.9774605661517,13.645584190434,13.1712977946249,14.3083493912054,13.7103639178878,15.7684089910573,13.0135947736315,12.7378855240574,15.6669472527614,15.6624244855395,16.1129159172043,13.1826673038271,16.7367157976127,13.6201598725549,16.2807258986043,16.0651601552,15.6849871034464,15.7358878818928,16.8217233391267,15.2134059938198,16.1444221522555,16.5099724079108,15.7284145557729,15.9367719790379,15.7762843007467,16.479115542395,17.101396845642,16.843544625323,15.7725984261948,15.9594391877685,16.7599223101773,17.5396205931027,16.0748702753814,15.960906712566,15.2703702161716,14.5273137097663,14.7836432306111,16.4480328842549,16.3509122017175,15.6844969642006,15.7694513594578,14.869117850409,17.0766389038682,14.5274414699383,15.2919823587701,15.1951594969965,16.0956263663413,15.6295532482851,14.8384235854567,15.8926394053862,16.5183910963123,16.2276942189437,15.9665255260496,15.7500810530601,15.0003290191311,15.0219007144967,14.9318262030585,15.8075699097772,15.9312772652016,16.2787102522803,16.5079280791684,15.7017288460204,15.0556699568716,18.3074597946036,16.0270058640734,15.9779624970382,25.369044301757,16.7557886112156,14.6431409163221,15.0883829318928,15.9969163855827,15.735473692675,16.9110988813235,15.3041996099969,15.1922016686567,15.9317461085046,16.639054551507,14.20385731809,14.5759322036088,16.7233587629582,15.6550637667671,18.8775076682919,14.1132033869522,14.7192110114776,12.108729155099,16.0519786822691,15.6647845620712,14.9690558109544,17.1781082258101,15.414788641217,15.8272297023269,14.7536897696377,15.9880107872514,15.3042121143474,15.4550974007023,14.961460261487,15.2988309494815,16.9454795229027,15.750982940677,13.4451035980244,15.027542067388,15.8151681271067,15.323508730102,15.649797837406,16.7798060015594
"7",20.6967509337552,20.2036546728492,20.6453535784215,20.0126235048495,20.9197506751305,20.1402188293701,20.3382860129797,20.1479796502968,20.2205941722862,19.8771649486605,20.4930392538571,20.3224516428237,20.1224939204196,21.9837019303109,19.3812994598648,20.5015592655825,16.266229267725,20.7255998839914,15.4497513941616,20.3013980330867,17.3751084350575,20.0855362612916,15.7188121089546,19.8560635872181,14.5773820173173,20.5307224605992,26.7264117998922,15.3514445331861,20.6317149474552,16.1712254397365,21.1463019808491,16.7731436665768,21.7705089841403,16.5577860945049,24.4553484239986,16.363826333984,21.3997235029754,16.1820879405204,21.1577541767443,20.8558996634982,21.1956423751637,21.145305605076,19.6857611233217,21.5013081903241,19.1424726032507,21.4002566234941,17.3743639467884,21.038010257153,15.6554439680197,21.4434105367085,21.2041007290339,15.1463884474842,20.7473390807311,16.5262664383566,20.898553160337,16.657452772903,20.6834351241699,15.7609960774316,21.2677512882827,16.0066212840668,19.0392386367399,20.7870054100002,18.417039704552,20.1273841341672,18.481392223802,20.936036521966,18.9486723772909,20.816204902578,19.6161767610335,20.4276045219899,19.424393210366,21.0347897876915,19.3834397043766,20.7371933842957,23.1186372425129,20.8976405364692,19.2164828323928,20.7697752446367,18.8894149573119,21.1987452545095,17.6690565391141,20.6778074367148,16.7002182893002,20.922487281805,20.7160032703424,16.3128243107162,21.3312100527752,14.9085143101882,20.805573908009,20.471920011085,16.0493519561457,20.3602342366039,16.1055318610651,24.1452783146351,20.1344497720925,20.8039176079843,15.3756572111994,19.9644346349488,16.1860170271428,20.5804414603477,15.1345287563996,20.196428684104,15.2762908720903,20.3072213821016,15.7671429382602,20.1933940020395,15.8569544580043,20.4976037187301,16.125618843945,20.5608249248253,19.7717080748123,23.3869260420661,21.3518175712932,20.7754742824182,17.8193849419432,20.7535821254682,16.9746979584404,20.7563083302499,16.6644651446688,20.4819495159593,15.3247242688037,22.9507539782577,20.6689948996506,20.7329080332775,15.0800346771654,20.4588137504907,24.1077180463443,20.1648491378875,16.3924649222455,20.3553970595608,15.4941417584029,20.5775080620079,18.2318910899353,20.3115655017803,17.282411564905,20.3669266754367,16.6636349162121,21.009347485204,15.4255949216314,20.3358348129313,15.9041913149782,20.008387602252,15.1259191945087,19.9536436518347,14.6781905277721,19.7846390769751,14.9272825241682,20.1650317136665,15.1108377352471
"8",23.3925914298109,12.1120267938612,22.9876726952192,12.1931434235372,22.7892790930015,14.4095662341526,23.3503093438479,12.7195439279536,15.0092993302802,13.7649584047387,22.9465590768254,21.2896375789436,12.7602630889766,20.6756628320115,12.2896378435412,12.8535973560228,12.8602914709974,22.0364269540767,19.2877486903358,22.4400368307867,16.4819475841373,21.3591341364968,13.2393396721309,22.5675988205866,12.4110000022921,21.3695346802181,28.8126131710409,14.9313300412919,22.0837910816783,20.8338355121711,13.6345324284817,22.999081314921,13.0574949129286,23.8167009762224,14.121486550414,23.5134890740393,13.7810698655353,23.9291139944924,13.4892446836626,13.4111190391136,15.5001116941648,18.5241921894108,18.0657759762271,14.3531407006804,15.9987130508948,19.7490872192254,13.1712977946249,18.0531868663719,18.3480779641209,19.3099603546689,13.0135947736315,18.7501033468053,16.9953288954395,18.6643151671928,17.1335870000363,17.9364916609283,19.4895907903257,13.6201598725549,16.0021001985168,18.2394158534689,13.2008788807487,13.345496326725,15.4320016446168,15.2977612256779,12.0676867750539,12.6603650324602,12.4708840454887,19.4006142788096,12.6735255025225,13.1119415460013,13.3320860860809,12.2395080077855,13.2596774815018,12.4816723902212,12.870506478979,13.4756290868506,13.1482534455453,17.947444331636,12.9883598788085,13.1997420005831,13.1397457513304,21.720011985465,13.2213440915066,22.0946592404948,20.5184060945513,12.8001199028114,19.6186375742881,12.2547020548058,13.0983799921978,12.097099834585,12.6075261198641,11.6802469756023,12.0090410786099,14.7293314530795,16.19198664643,10.1277383113729,12.2102928824253,12.3205739989908,12.541642319193,12.8595945911525,12.2051237284578,12.7835360672147,14.18049831701,17.5149345859893,12.7299070037685,12.1049020825428,12.9101679851678,12.8715723141611,13.333716643004,12.3563770544434,12.1487483255717,12.4499225517308,12.4972265012125,12.5454725090894,13.1784600819323,12.3840366599701,11.8778123773535,12.2823389900007,12.3690159976472,12.2635381638818,17.4829687270988,16.6769600190543,12.6846564582754,11.9538400396312,12.9471145822531,12.1630314238663,11.7121914306392,12.6751355369271,12.108729155099,12.2567774959666,13.017672019485,12.1589347009953,12.4991459591262,13.0196271034365,13.1379789732,12.04651030509,12.29140351084,11.8559482968448,12.1179887074406,12.7999053612079,12.5876050444341,12.9014683713401,12.2574939973711,13.4451035980244,12.1661099599106,12.2977385104656,12.2078509380018,13.0607412378307,12.5378680823966
"9",16.1970806675381,17.330277948399,16.9204145491299,16.50402106616,17.0126487615128,15.9594193731124,15.5091966409459,16.4574795922012,18.6212221097134,18.9786242335751,17.9642067966458,17.0488910488873,16.6296389954024,18.8867803262363,18.832614120379,18.1206170755021,18.5071667775365,16.7429653345083,16.8612146628338,18.3076819707373,15.0829652098207,17.0960487019103,17.8028927156261,17.3368544246377,16.9854611943483,16.2565370523075,20.0494149242038,16.332029141534,18.3323862573062,16.4404281298839,21.0546024648258,20.5807780244341,16.2354268213172,16.4841834893455,18.9758184154331,18.9136977036744,17.3859942595732,18.5789965727071,17.1453611484912,16.9393550050927,18.5905864348271,16.0301473606053,17.4772879675544,18.2721506559156,18.4690570484188,17.1775345759205,17.6487662367212,18.1115480105003,19.6992664621656,16.8376042977092,15.1608820652454,16.6418606041754,17.5457494012575,18.5451726007314,18.1696262318295,19.0157231941007,18.3052127785787,18.9959250557093,18.573184450115,18.9461563635213,19.0919490579208,18.9200183664752,19.6867394258609,17.9121031016566,18.3357843968289,19.0827085324055,19.2811702854314,19.2987128177347,19.9103131971935,18.8629403831175,18.7923764287743,20.0476050247966,18.681353018067,17.7514747467394,18.6291747067176,19.0833320647667,19.2167631134748,18.8433582170669,18.3354719572341,17.9309995960308,18.9946001879914,18.2064285869369,19.3080898813303,20.2250629435793,19.1516635927726,17.7036386214645,18.0291310465298,17.4251053734233,17.818594153511,20.253657542927,18.924022752882,18.526150825069,16.9562036208235,20.5293267399116,20.5502236984403,18.0731890804622,18.075280500122,15.6666063949582,15.4797149634149,17.4498009696003,19.3776339678022,17.4909031796233,18.5935770538294,20.394172302856,18.6676725350486,17.3332798810636,16.8356883171401,22.3566377970734,18.0659883541136,15.0104883198443,19.3695868459329,19.5258458610963,18.2944067146211,17.268831413007,19.1837237918658,15.9936053502893,11.8778123773535,18.2640010408088,19.1243131212733,16.2246821835021,19.9275471405617,17.8888919732161,17.8529860615172,20.2529757025075,20.6106280291828,23.6882311858084,18.8625542635455,18.9581428382224,18.9728136128025,18.7551603952199,19.0947976120891,16.9649382943373,22.0565662987628,19.0688616690034,18.2049041914353,16.4684468743895,16.0501478426506,18.8469681451992,18.1183877329873,18.794137216621,17.2644495568818,20.9729733710139,20.3109861739337,22.8194320540637,19.1274960258147,18.2264838319135,18.7732544812529,18.0920950513648,18.4017500840348
"10",18.7599119886818,18.7593259125644,14.7094536206906,12.1931434235372,17.7532682911971,16.9334764425533,17.6082600167824,16.2337720910117,19.7426125017683,20.3210668787112,17.3486420801555,17.6070225026625,15.7411133181898,16.6853104605579,16.5871798451394,15.6180582727077,16.6505645273624,20.0236938505228,19.1739019023673,19.8029016923198,18.8023576726993,17.6324789880462,16.8187597610771,17.5311165800273,17.688479967829,18.0573578923725,16.1985819218926,18.9194341079771,20.0636437044304,19.4326878156419,20.9773959384858,21.1803087717928,17.8813611044308,17.5906707077529,14.121486550414,17.3125269596111,13.7810698655353,17.9639147339417,13.4892446836626,20.1781577537203,20.2398928099353,19.3437415006827,19.6836955474212,14.3531407006804,17.6360215517669,13.645584190434,13.1712977946249,17.8036072460634,20.1246146690612,19.4852441351274,15.7113793335871,15.8700275002077,19.264792103639,19.6296754561103,18.2326603217027,18.4814738584867,18.1961729817636,16.3692109220159,20.1213326828938,19.9938923367148,18.0252855188248,19.1745669531641,19.9299424382948,18.9970780381971,18.8539983274212,17.14732728923,18.239809463282,17.7771999404231,24.602948271125,15.7513786507741,16.5550099016818,21.2276068094836,19.1801940105103,15.9235110705025,12.870506478979,20.9131145755002,20.8658645590865,15.9621639070527,15.2097329859877,17.1236693171791,15.6677098258789,19.4246800590919,20.1585694107911,18.8573721173267,18.8918980677589,15.5328217791007,15.1288268675488,16.2891818035781,19.3092246166003,19.4954558106432,18.9611171627242,11.6802469756023,15.1559718304393,19.5624925285569,18.1602992421296,16.8334225527016,15.013533248593,12.3205739989908,17.8361276759098,18.1482990065023,17.0602887913405,17.3546936214331,18.6860902167351,18.2241012090713,16.8278859405507,20.1095057110366,14.9290476569271,16.7266536495539,18.4230590860635,14.6217234395221,17.979898969988,17.5542071002224,15.3840739863819,16.2117397535045,16.7587938831424,16.8939160596362,11.8778123773535,19.4429925355475,18.7680589467933,15.6726115090084,16.065717947125,18.2416004106046,17.393641730126,19.5640686930714,19.4835295307604,16.6378852643975,15.779213095646,12.6751355369271,12.108729155099,16.5875361075268,18.0538974315346,17.8574426652037,19.1053278089856,17.7087526902994,14.7341859896068,14.9955351217206,15.7745461683021,14.5274690013372,16.1984020393609,14.5240440921073,14.6393042340501,18.0995839926437,20.1340958999443,17.0296719861218,15.7856758123056,18.9110519627279,19.4426545237974,14.4852643672146,15.3596647910926
